head,type,tail
"1,5 Anhydro D fructose",instance of,monosaccharide
"1,5 anhydro D glucitol",instance of,monosaccharide
"1,8 cineole",instance of,volatile
1,instance of,chromosome
1,subclass of,diabetes
1,subclass of,interleukin
1.0,followed by,SEanalysis 2.0
1/3,facet of,structural progression
1/6,facet of,structural progression
10 19 years old,is a list of,referenced articles
10 days isolation period,number of days,10
10 days,number of participants,10
10,subclass of,interleukin
100 important questions for biology,followed by,100 important questions for environmental science
100 important questions for environmental science,follows,100 important questions for biology
100 most cited papers on NPC,is a list of,citation
100 most cited papers,main subject,nasopharyngeal carcinoma
1000 Genomes,use,bioinformatic analysis
1000 Genomes,part of,esp
1000 person years,facet of,malaria
10j,subject has role,antiproliferative
10q22,has part,7q36
1190 taxa,is a list of,taxa
12 LOX,different from,12R LOX
12 meses,has part,El centro de atención de esta revisión
12 month follow up,number of participants,12
12 months,follows,outpatient control
12 week course,number of participants,12
12,followed by,24 weeks
12,instance of,chromosome
1200 nm,part of,shortwave infrared
120mg,followed by,180mg
120mg,part of,BI 655064
120mg,instance of,ccrr
120mg,instance of,dose response
12915 021 01069 2,publication date,1086
12R LOX,different from,12 LOX
12R LOX,different from,12S LOX
12R LOX,instance of,quinoline
12S LOX,different from,12R LOX
12b4,instance of,monoclonal antibodies
13,subclass of,interleukin
13.1,point in time,13
13q22,instance of,gene
14 3 3,instance of,signaling pathway
14 districts,part of,IRS
14 weeks of gestation,followed by,15 weeks of gestation
14,followed by,Day 28
1418 clinical trials,point in time,1418
14c,subject has role,antiproliferative
14°c,instance of,Rearing temperature
15 34,instance of,age group
15% of couples worldwide,has effect,infertility
15,instance of,age group
16 S rRNA,subclass of,amplicon sequence variants
16 S,subclass of,rrna
16 carbon chain length,opposite of,24 carbon fatty acid chain length
16S rDNA,part of,API 50CH
16S rRNA sequencing,use,bioinformatics
16S rRNA,has part,V1 V3 hypervariable gene region
16S rRNA,subclass of,amplicon
16S rRNA,instance of,gene
16S rRNA,subclass of,gene amplicon
16S rRNA,subclass of,gene sequence
16S rRNA,use,metabolomic
16S rRNA,part of,mitochondrial
16S rRNA,subclass of,sequencing
16SrXII P,subclass of,phytoplasma
16s rRNA,subclass of,gene sequencing
16s,subclass of,rdna
17 weeks of gestation,subclass of,amniocentesis
1784,point in time,1784
1788 unique reports,point in time,1788
17β trenbolone,subject has role,tadpole
17β trenbolone,instance of,trenbolone
180mg,follows,120mg
180mg,followed by,240mg
180mg,part of,BI 655064
180mg,instance of,ccrr
180mg,instance of,dose response
1819,point in time,1819
185 words,point in time,185
1879,point in time,1879
18S rRNA,instance of,gene
18beta glycyrrhetinic acid,subject has role,anti tumour
1930 genes,point in time,1930
1956,point in time,1956
1957,point in time,1957
1973,point in time,1973
1980,point in time,1980
1985,point in time,1985
1988,point in time,1988
1990,point in time,1990
1999,point in time,1999
19S regulatory particle,part of,26S proteasome
19S regulatory subunit,part of,26S proteasome
"1:250,000 scale",facet of,geology
1C metabolism,has effect,chromosome aberrations
1b4,follows,2d10
1d,subclass of,cell migration
1p/19q codeleted glioma,subclass of,glioma
1zvh,subclass of,nanobody
2 Deoxy glycoside,instance of,oligosaccharide
2 Gray,subclass of,X ray
2 acetyl 1 pyrroline,instance of,biomarker
2 aminoethoxydiphenyl borate,subject has role,agonist
2 cell stage,part of,embryonic development
2 deoxy 2 fluorine 18 fluoro D glucose,medical condition treated,prostate cancer
2 hydroxybutyrate,instance of,lipid
2 hydroxypropyl beta cyclodextrin,medical condition treated,Niemann Pick type C1
2 m spatial resolution,subclass of,aerial photos
2 oxobutanoate,instance of,cysteine
2 phenylethanol,instance of,volatile
2 pyridone PIM1 inhibitor,medical condition treated,SARS CoV 2
2 pyridone,subject has role,PIM1 inhibitor
2 sex life table,instance of,age stage
2 way ANOVA,uses,two tailed t tests
2 year progression free survival,followed by,5 year progression free survival
2 year survival,followed by,5 year survival
2' 5' oligoadenylate synthetase,subclass of,interferon
2' deoxyribonic acid,subject has role,metabolomic
"2',3' cAMP",instance of,"3',5' cAMP"
2,sibling,3
"2,3 dihydroxybenzoate",instance of,moiety
"2,3,4,6 tetrachloro 5 cyanophenyl GSL",has part,chlorothalonil
"2,4 D transport",has part,"2,4 D"
"2,4 D",instance of,herbicide
"2,4 D",subclass of,translocation
"2,4 Dichlorophenoxyacetic acid",instance of,herbicide
2,subclass of,annexin
2,subclass of,diabetes
2.2,point in time,2
20 ,subclass of,ncm
20 years of age,followed by,45 years old
20 years old,is a list of,referenced articles
20(S) sanchirhinoside A,subclass of,saponin
20,part of,40 years
20,instance of,age range
200 mg/kg,said to be the same as,taa
2000 Summer Olympics,point in time,2000
2000 Summer Olympics,location,Beijing
2000 Summer Olympics,country,China
2000,point in time,2000
2002,point in time,2002
2004 Summer Olympics,point in time,2004
2004,point in time,2004
2005,point in time,2005
2006,point in time,2006
2008 New York World's Fair,point in time,2008
2008 Summer Olympics,point in time,2008
2008 Summer Olympics,location,Beijing
2008 Summer Olympics,country,China
2008 Summer Olympics,country,People's Republic of China
2008,point in time,2008
2009 World AIDS Conference,point in time,2009
2009 World Aquatics Championships,point in time,2009
2009 World Championships in Athletics,point in time,2009
2009 World Championships in Athletics,location,Seoul
2009 World Championships in Athletics,country,South Korea
2009 World Cup,point in time,2009
2009 pandemic,point in time,2009
2009,point in time,2009
2010 FIFA World Cup,point in time,2010
2010 TMUV outbreak,country,China
2011 Canadian Medical Association Awards,point in time,2011
2011 Las Conchas Fire,point in time,2011
2011,point in time,2011
2013,point in time,2013
2014 2015 heatwaves,point in time,2014
2014 2023,point in time,2014
2014,point in time,2014
2015 World Health Organization (WHO) summit,point in time,2015
2015 to 2020 period,facet of,climate change
2015,point in time,2015
2016 Summer Olympics,point in time,2016
2016 Summer Olympics,location,Seoul
2016 Summer Olympics,country,South Korea
2016 World Economic Forum,point in time,2016
2016,point in time,2016
2017 European LeukemiaNet,point in time,2017
2017 Spanish National Health Survey,point in time,2017
2017,point in time,2017
2018,followed by,2019
2019,point in time,2019
2020 Summer Olympics,point in time,2020
2020,point in time,2020
2021 Center for Medicare and Medicaid Services (CMS) fee schedule,point in time,2021
2021 WHO CNS tumor classification,publication date,2021
2021 WHO criteria,point in time,2021
2021 revised guidelines of the World Health Organization,point in time,2021
2021,point in time,2021
2022 mpox outbreak,point in time,2022
2022 outbreak,point in time,2022
2022,point in time,2022
202208155,published in,Cell Biol.
2023 The Authors,point in time,2023
2023 Wiley Periodicals,point in time,2023
2023,point in time,2023
2030 Sustainable Development Goals,point in time,2030
20S core particle,part of,26S proteasome
20S proteasomes,subclass of,ev
"20S, 24S MR2",has part,"20S, 24S MR2"
"20S,24R Protopanxatriol Oxide I",followed by,"20S,24S Protopanxatriol Oxide II"
"20S,24S Protopanxatriol Oxide II",follows,"20S,24R Protopanxatriol Oxide I"
20x,subclass of,sequence data
217,said to be the same as,250
22 February 2021,point in time,22 February 2021
22,part of,Mn transporter
22q11.2 deletion syndrome,has cause,molecular genetic background
22q11.2 deletion syndrome,studied by,molecular genetic etiology
22q11.2 deletion syndrome,subclass of,multisystemic disorder
22q11ds,has effect,EF impairments
22q11ds,has effect,ef
22rv1,instance of,cell line
22rv1,part of,proteome
22°c,opposite of,30°c
23F 4,parent taxon,Tennessee
24 carbon fatty acid chain length,opposite of,16 carbon chain length
24 weeks,follows,12
24 years,instance of,age group
240mg,follows,180mg
240mg,part of,BI 655064
240mg,instance of,ccrr
240mg,instance of,dose response
2490222,instance of,marker
25 hydroxy vitamin D,subclass of,vitamin D
25 hydroxyvitamin D,instance of,25
25 hydroxyvitamin D,subclass of,secosteroid
25 mM,different from,50 mM glucose
25,instance of,serum level
250 <subj>217,said to be the same as,250
2548691,instance of,marker
26S proteasome,has part,19S regulatory particle
26S proteasome,has part,19S regulatory subunit
26S proteasome,has part,20S core particle
26s,part of,proteasome
27 hydroxycholesterol,subject has role,autooxidation
27 weeks,subclass of,exercise training
29.7,has part,30.6
29.7,has part,7.9
2D DIGE,use,proteomic
2D cell culture,part of,3D in vitro
2D counterpart,opposite of,3D dynamic cell culture
2D culture conditions,opposite of,4D sEVs
2D culture,followed by,3D collagen
2D culture,followed by,3D culture
2D culture,followed by,3D dynamic culture
2D culture,opposite of,3D model
2D template matching,use,cryo EM
2a,followed by,3a
2d,opposite of,3D cultures
2d,part of,3d
2d,part of,two dimensional
2d10,followed by,1b4
2f,instance of,compound
2g,facet of,E coli
2g,instance of,compound
2h,instance of,compound
2i,instance of,compound
3 ,followed by,4 year old
"3 Bromo 4,5 dihydroisoxazole",instance of,moiety
3 dimensional (3D) printing,subclass of,additive manufacturing
3 formyl 2 hydroxybenzoic acid,instance of,Schiff base
3 hydroxyphenylacetic acid,subject has role,metabolomic
3 methylhistidine,medical condition treated,acute respiratory failure
3 methylhistidine,subject has role,inflammatory biomarkers
3 phosphoglycerate dehydrogenase,part of,mitochondrial folate cycle
3 year,followed by,4 years
3' DNA termini,part of,dna
3' DNA terminus,part of,dna
3' UTR,instance of,region
3' UTR,part of,wnt
3' UTRs,subclass of,protein
3' end expression,has part,promoter
3' end site,part of,transcription initiation
3' phosphoadenosine 5' phosphosulfate synthase 1,instance of,enzyme
3' phosphoadenosine 5' phosphosulfate,has part,sulfuryl
"3',5' cAMP   actin pairing",has part,"3',5' cAMP"
"3',5' cAMP interactome",has part,"3',5' cAMP"
"3',5' cAMP",part of,"3',5' cAMP   actin pairing"
"3',5' cAMP",instance of,protein
"3',5' cAMP",instance of,proteins
"3',5' cAMP",part of,proteomic
3'UTR luciferase activity assay,instance of,functional assays
3'utr,part of,mrna
3,sibling,2
3,different from,8 Gy
3,instance of,chromosome
3.3,point in time,3
30 s sit to stand test,instance of,Barthel index
30 years,part of,event free survival rate
30.6,part of,29.7
30°c,opposite of,22°c
31B1 3,subclass of,fracture
32 Ncm,subclass of,ncm
32 provinces,country,Indonesia
32 weeks,part of,first trimester
32nd week,part of,gestation
32w PMA,follows,Day 28
35 40 min,said to be the same as,moderate intensity
35 54,instance of,age group
369 human kinases,subclass of,cpki
39,is a list of,chemical compound
3C like protease,subclass of,viral protease
3D bioprinting,subclass of,printing
3D bioprinting,subclass of,tissue engineering
3D collagen,follows,2D culture
3D cultures,opposite of,2d
3D dynamic cell culture,opposite of,2D counterpart
3D dynamic culture,follows,2D culture
3D in vitro,has part,2D cell culture
3D model,opposite of,2D culture
3D volume segmentation,subclass of,automated segmentation
3T MRI,subclass of,mri
3a,follows,2a
3a00413,parent taxon,deep sea sulphide derived fungus
3clpro,subclass of,peptide
3clpro,subclass of,plpro
3d,subclass of,cell culture
3d,subclass of,cell migration
3d,subclass of,image
3rd cycle test,has part,BM PANNM
3rd,followed by,4th groups
3xTg AD mice,facet of,Alzheimer's disease
3xTg AD mice,different from,wild type
4 1BB ,part of,Fas CD40
4 DAMP,subject has role,muscarinic M3 receptor antagonist
4 acetoxypentanamide,instance of,moiety
4 acetoxypentenamide,instance of,moiety
4 acetoxypentenamide,part of,spliceostatin A
4 epi cubebol,part of,Eucalyptus globulus leaf oil
4 hydroxynonenal,subclass of,C reactive protein
"4 nitrobenzene 1,2 diamine",instance of,Schiff base
4 phenylbutyric acid,subject has role,induction
4 sulfonic calixarene,medical condition treated,post stroke immunosuppression
4 weeks,part of,treatment
4 years,said to be the same as,0
4 years,followed by,5 years
"4',5,7 trihydrocyflavanone 7 = = = = = = = = DNA damage",part of,naringin
4,followed by,12
4,instance of,chromosome
4,subclass of,interleukin
4.56,part of,Values domain
4.57/5,part of,Values domain
4/5 Spike,subject has role,anti SARS CoV 2
40 years,has part,20
44,is a list of,chemical compound
45 years old,follows,20 years of age
45,is a list of,chemical compound
46,instance of,karyotype
47,instance of,karyotype
48 gene panel,facet of,gene
49,subclass of,vascular kernels
4D sEVs,opposite of,2D culture conditions
4E BP1,subject has role,phosphorylation
4E BP2 eIF4E association,has cause,ischemic reperfusion stress
4E BP2,subclass of,eIF4E binding protein
4E BP2,instance of,isoform
4F MDMB BICA,instance of,primary metabolite
4T1@DOX/CS NPs,has part,4T1@DOX/CS NPs
4T1@DOX/CS NPs,subclass of,np
4th groups,follows,3rd
5 7 years old,subclass of,child
5 ARI,medical condition treated,BC progression
5 ARI,subclass of,radical cystectomy
5 ARI,different from,α blocker
5 ARIs,facet of,BC diagnosis
5 FU,subject has role,Drug resistance
5 FUPD,instance of,prodrug
5 Fluorouracil,medical condition treated,cancer
5 aminoimidazole 4 carboxamide ribonucleotide,subject has role,ampk
5 aminolevulinic acid,medical condition treated,phototoxic injury
5 aminolevulinic acid,instance of,precursor
5 aza 2' deoxycytidine,subject has role,demethylation
5 aza dC,encodes,spock2
5 bromo 2 deoxyuridine,medical condition treated,mycosis
5 bromo 2' deoxyuridine,part of,dna
5 ethynyl 2' deoxyuridine,subject has role,cell invasion assay
5 fluoro 2' deoxyuridine 5' monophosphate,instance of,metabolite
5 fluorouracil,medical condition treated,cancer
5 fluorouracil,subject has role,fluorophore
5 fluorouracil,has effect,toxicity
5 hydroxyindoleacetic acid,subclass of,serotonin
5 lipoxygenase activating protein,subclass of,enzyme
5 nitrofuryl,has part,hstc
5 year BMI z score,facet of,bmi
5 years after birth,has cause,mother
5 years,follows,4 years
5 years,said to be the same as,overall survival
5' 3' exonucleases,subclass of,endonucleolytic cleavage sites
5' 3',subclass of,exoribonuclease
5' TL,part of,mrna
5' promoter,part of,promoter region
5'P degradome,subclass of,metadegradome
5'P sequencing,subclass of,metadegradome sequencing
"5,10,15,20 tetrakis(1 methylpyridinium 4 yl)porphyrin tetraiodide",subject has role,antimicrobial
5,subclass of,annexin
5,instance of,chromosome
5,subclass of,exercise training
5,subclass of,interleukin
5,subclass of,nucleotide
5/9,subclass of,bone morphogenetic protein
50 mM glucose medium,has part,lps
50 mM glucose,different from,25 mM
50 mM glucose,has part,lps
50 mM glucose,instance of,medium
50,instance of,trans anethole
510,point in time,510
5347 patients,part of,study
53bp1,instance of,protein family
55 64,instance of,age group
577,point in time,577
5F MDMB PICA,instance of,primary metabolite
5FU + CDDP resistant,subclass of,intestinal subtype GC
5hmC profiling,instance of,diagnostic
5xfad,facet of,Alzheimer's disease
5α reductase inhibitor,subject has role,antiandrogen
"6 formylindolo[3,2 b]carbazole",instance of,compound
6 m apart,subclass of,detected movement
6 months,instance of,index time point
6 phosphofructokinase,instance of,gene
6,subclass of,annexin
6,subclass of,interleukin
60 mg/kg,facet of,PA
60 years,instance of,age range
60,instance of,age
62.57 ± 62.62 m,part of,1 2 days
62.57 ± 62.62 m,instance of,distance of movement
63187,instance of,gene
64 years,instance of,age
65 74,instance of,age group
65 79 and ≤64 years,opposite of,80 years
6b1 viruses,has effect,A/California/07/2009(H1N1) vaccine strain
6c5,instance of,monoclonal antibody
7 April 2022,point in time,7 April 2022
7 NI,subject has role,L DOPA
7 geranyloxycoumarin,medical condition treated,prostate cancer
7 ketoC,medical condition treated,inflammation
7 ketocholesterol,instance of,oxysterol
7 nitroindazole,subject has role,NO synthase inhibitor
7,instance of,chromosome
7.9,part of,29.7
7/8mmud,subclass of,alternative donor
7/8mmud,different from,mrd
70 years,said to be the same as,median age
7058267,instance of,marker
70S ribosome,part of,ribosomal
74uc,medical condition treated,ibd
76 years,said to be the same as,Median age
7:10 rule of thumb,facet of,nuclear fallout
7q36,part of,10q22
7β OHC,medical condition treated,inflammation
7β hydroxycholesterol,instance of,oxysterol
8 Gy,different from,3
8 OHdG,has part,nmol
8 cage,subclass of,imaging
8 hydroxydeoxyguanosine,subject has role,antioxidant
8/8mud,part of,mrd
80 years,opposite of,65 79 and ≤64 years
80,instance of,trans anethole
800 850 nm,instance of,spectral range
86cd,medical condition treated,ibd
87 years,instance of,age range
8th week,part of,gestation
9 + 2,subclass of,cilia markers
9 oxo octadecadienoic acid,instance of,lipid
"9,10,13 trihydroxyoctadecenoic acid",instance of,lipid
9,subclass of,ligand
95% CI,different from,odds ratio
95% CI,different from,or
95% confidence interval,facet of,multivariate logistic regression
95% confidence interval,facet of,odds ratio
95% confidence intervals,facet of,hazard ratio
95% credible interval,subclass of,standardised mean difference
95,has part,rom
96 °C,instance of,functional thermostability
9th Congress,followed by,9th Congress
@@@@@@@@SARS CoV 2,has effect,COVID 19 pandemic
@@@@@@@@SARS CoV 2,instance of,coronavirus
@@@@@@@@alkbh5,instance of,functional single nucleotide polymorphisms
A B C X model,facet of,dust storm
A cross sectional study,end time,August 2020
A gate,part of,S6 segment
A. contorta,facet of,site management
A. fumigatus Δ9 fatty acid desaturase,parent taxon,Mycobacterium tuberculosis
A/California/07/2009(H1N1) vaccine strain,has cause,6b1 viruses
A1 astrocyte,subclass of,astrocyte
A2B adenosine receptor,subject has role,immunosuppressive
A2B phenotype,opposite of,O phenotype
AA families,has part,AA families
AAA+ ATPase,part of,valosin containing protein
AB anlage,subclass of,connective tissue
AB combination,different from,ABC combination
AB regeneration,has cause,evisceration
ABC combination,different from,AB combination
ABC efflux transporter,part of,intracellular drug retention
ABC transporter subfamilies,parent taxon,pipien
ABC transporter,instance of,gene
ABC transporters,facet of,mdr
ABC1 type kinase,opposite of,PKN2 type kinase
ABC1 type,subclass of,activity of bc1 complex
ABC1 type,subclass of,stpk
ABCG6032427 knockdown,has cause,abcg6032427
ABO gene,has part,exons 1 to 7
ABO gene,has part,intron
ABO isoagglutinin titer estimation,instance of,hi
ABO titers,subclass of,median titers
ABO*cisA B,instance of,allele
ACC deaminase,subclass of,enzyme
ACE2 receptor,subclass of,receptor
ACL injury,has effect,knee synovial fluid
ACL tear,has effect,posttraumatic OA
ACr complex,instance of,protein
AD model mice,opposite of,wild type mice
AD treatment,drug used for treatment,AD treatment
AD treatment,drug used for treatment,ad
ADAMTS like 2,instance of,protein
ADHF prediction,subclass of,ecg
ADP/ATP carrier,subclass of,adenine nucleotide carrier
ADRD registry,subclass of,registry
AEP inhibition,part of,NSC transplantation
AGE RAGE signaling pathway,instance of,signaling pathway
AGS cell line,instance of,cell line
AHB Gel,has effect,fluorescence
AHB Gel,instance of,hydrogel
AHB Gel,subject has role,storage stability
AKAR3 EV,instance of,biosensor
ALF (Avtal om Läkarutbildning och Forskning) agreement,country,Swedish state
ALK positive,subclass of,nsclc
ALL bearing,subclass of,transgenic mice
ALT pathway,has part,TERRA metabolism
AM colonisation,has effect,rhizobial infection
AM fungi,subclass of,model organism
AMG 44,subject has role,PERK inhibitor
AMI,opposite of,cad
AMI,has cause,immune cell
AMI,has effect,scd
AMP activated protein kinase,subclass of,cellular energy sensor
AMP activated protein kinase,part of,molecular hub
ANGPTL4 KO,medical condition treated,hepatoma
ANSWERS 2000,instance of,water erosion model
AO PANNM,has part,ag
AO PANNM,has part,cu
AO feedback,use,neurorehabilitation
AOP network,facet of,human health
AP endonuclease 1,subclass of,nuclease
AP peptide cross link,has cause,proteolysis
APAF 1,instance of,protein domain
API documentation,subclass of,user guide
APJ axis,has part,apelin
APOBEC mutagenesis,medical condition treated,escc
APOE variants,subclass of,haplotype
APOE ɛ4,has effect,adrd
APOE3 Christchurch,subclass of,adad
APP/PS1 mice,instance of,AD model
APS POQ,facet of,satisfaction
AR SIM,part of,jsfr
ARS UCD1,instance of,reference genome
AS muscle,instance of,nerve ending
AS therapy,facet of,as
ASH Research Collaborative,parent organization,ash
AST/ALT ratio,facet of,Metabolic syndrome
ATAC seq,part of,next generation sequencing
ATM number,part of,adipose tissue
ATP <subj>AMP,different from,atp
ATP DnaA,part of,Left DOR subregion
ATP Mg/phosphate carrier,subclass of,adenine nucleotide carrier
ATP binding cassette,subclass of,transporter
ATP dependent activity,instance of,functional categories
ATP dependent,subclass of,cofactor
ATP depletion injury,has effect,mitochondrial dysfunction
ATP depletion,opposite of,mitochondrial membrane depolarization
ATP sensitive K裎Novel approaches,subclass of,immunotherapy
ATP specific binding lighted fluorophore,instance of,compound
ATP specific polyvalent hydrogen binding,subclass of,mimetic
ATP sulfurylase,instance of,domain
ATP synthesis,instance of,functional categories
ATRX syndrome,has cause,ATRX mutations
Aatrex® Liquid 480,manufacturer,syngenta
"Abbott, Chicago, IL",country,USA
Abies faxoniana,parent taxon,alpine coniferous forests
Abies georgei,parent taxon,alpine coniferous forests
Ablation of CK,has effect,deficiency in energy supply
Abnormal B6 levels,instance of,41.4% relative frequency
Abnormal DNA methylation,has effect,cell carcinogenesis
Abnormal behaviour,subclass of,behaviour
Abnormal hematopoietic microenvironments,has effect,ineffective hematopoiesis
Abnormal miRNA expression,has effect,HCC
Abunã River,mouth of the watercourse,Madeira River
Academic Medical Center,instance of,Medical Center
Academic medical center,subclass of,Academic medical center
Accelerator mass spectrometry,use,molecular biology
Achilles tendon,part of,pdus
Action observation,subclass of,post stroke therapy
Active packaging,facet of,shelf life
Activity duration,has part,offset
Acute Liver Failure,has cause,acetaminophen
Acute Necrotizing Encephalopathy sub type 1,subclass of,acute encephalopathies
Acute avoidance of dangerous temperatures,has effect,injury
Acute kidney injury,has cause,sepsis
Acute myocardial infarction,has cause,myocardial damage
Acute otitis media,subclass of,ear infection
Acute respiratory distress syndrome,subclass of,acute lung injury
Acute respiratory viral infections,subclass of,illness
Acute stroke,has cause,stenose the ICA
Acyl Coa synthetase long chain family,subject has role,antioxidant
Ad 9D9,instance of,monoclonal antibody
Ad libitum,has effect,metabolic damage
Adaptive design of development,facet of,Drosophila
Adaptively neutral,facet of,fitness
Addis Ababa,country,ethiopia
Adenosine monophosphate activated protein kinase,part of,muscle mass regulation
Adenosine triphosphate,part of,mitochondrium
Adenovirus Encoded Adjuvant,instance of,genetic vaccine
Adipose derived stem cell,subclass of,stem cell
Adipose tissue derived stromal cells,use,regenerative medicine
Adolescent Idiopathic Scoliosis,has cause,SARS CoV 2
Adult banded cucumber beetle,publication date,10.10340 022 01568 3
Advanced Research,field of work,advanced research
Adverse childhood experience,has effect,child health
Adverse conditions in early life,has effect,adult health
Adélie penguins,parent taxon,European flounder
Aedes vexans,parent taxon,mosquito
Aegilops tauschii,parent taxon,invasive grass
Aegilops tauschii,instance of,spike
Aerobic endurance activity,subject has role,stimulant
Affinity measurement,facet of,phospho modulation
Afghanistan,instance of,military service related criterion A trauma
African American men,opposite of,European American men
African American,instance of,community
African blue tick,parent taxon,Rhipicephalus decoloratus
African green monkey,parent taxon,chlorocebus
African killifish,parent taxon,vertebrate
African swine fever virus,has effect,hemorrhagic
African swine fever virus,has effect,pandemic
Age associated LUT dysfunction,has effect,compromised quality of life
Aggressive breast cancer,subclass of,breast cancer
Agronomic traits response to N,instance of,index
Airway dysbiosis,has cause,copd
Akita mice,medical condition treated,type 1 diabetes
Akt pathway,opposite of,Hedgehog pathway
Al,instance of,element
Al,subject has role,heavy metal
Al,has part,mn
Alaska,continent,Africa
Alaska,has part,Alaskan Peninsula
Alaskan Peninsula,located in the administrative territorial entity,Alaska
Alcaligenes faecalis,instance of,bacterium
Alcohol use disorder,subclass of,genetic disorder
Aldose reductase,subject has role,lower risk of the disease
Alice S. Marriott Foundation,spouse,J. Willard
Alkalihalobacillus clausii,subject has role,probiotic
All of Us Research Hub,parent organization,NIH
All rights reserved,facet of,copyright
Allee effect,subclass of,spatial selection
Allele specific touchdown PCR,facet of,allele
Allen Institute,subsidiary,mindscope
Allen's mouse brain anatomy atlas,field of work,neuroscience
Allergic asthma,subclass of,chronic lung disease
Allergic contact dermatitis,subclass of,skin disorder
Allergic rhinitis,subclass of,inflammatory disorder of the upper airway
Allium test,facet of,toxicity
Allogenic stem cell transplantation,medical condition treated,mdss
Alpha diversity analysis,facet of,microbial communities
AlphaFold 2,use,holo structure
Altered hematopoietic stem cell,subclass of,blood disorders
Alzheimer's Disease,has cause,amyloid beta peptide
Alzheimer's disease related pathology,has cause,Amyloid aggregation
Alzheimer's disease,has effect,Amyloid plaques
Alzheimer's disease,drug used for treatment,Histone deacetylase
Alzheimer's disease,has cause,amyloid beta
Alzheimer's disease,has cause,amyloid β
Alzheimer's disease,has cause,amyloidogenesis
Alzheimer's disease,drug used for treatment,benzimidazole
Alzheimer's disease,subclass of,cognitive decline
Alzheimer's disease,has effect,cognitive impairment
Alzheimer's disease,has effect,dementia
Alzheimer's disease,subclass of,dementias
Alzheimer's disease,instance of,disease
Alzheimer's disease,has cause,marker
Alzheimer's disease,subclass of,neuro degenerative
Alzheimer's disease,subclass of,neurodegeneration
Alzheimer's disease,subclass of,neurodegenerative disease
Alzheimer's disease,subclass of,neurodegenerative diseases
Alzheimer's disease,subclass of,neurodegenerative disorder
Alzheimer's disease,subclass of,neurodegenerative disorders
Alzheimer's disease,subclass of,non motor symptoms
Alzheimer's disease,instance of,pathogenesis
Alzheimer's disease,subclass of,related dementia
Alzheimer's disease,subclass of,related dementias
